id,clientID,topic,message,timestamp
925,t2g5:108,t2g5, temp; 31.14 humid; 64.46 quality; 31,9/7/2024 20:05
926,t2g5:108,t2g5, temp; 31.14 humid; 64.65 quality; 30,9/7/2024 20:20
927,t2g5:108,t2g5, temp; 32.17 humid; 65.26 quality; 31,9/7/2024 20:35
928,t2g5:108,t2g5, temp; 29.77 humid; 65.94 quality; 31,9/7/2024 20:50
929,t2g5:108,t2g5, temp; 28.74 humid; 66.32 quality; 30,9/7/2024 21:05
930,t2g5:108,t2g5, temp; 33.19 humid; 67.18 quality; 30,9/7/2024 21:20
931,t2g5:108,t2g5, temp; 29.09 humid; 68.10 quality; 30,9/7/2024 21:35
932,t2g5:108,t2g5, temp; 33.54 humid; 68.05 quality; 31,9/7/2024 21:50
933,t2g5:108,t2g5, temp; 31.14 humid; 68.81 quality; 31,9/7/2024 22:05
934,t2g5:108,t2g5, temp; 33.54 humid; 69.20 quality; 31,9/7/2024 22:20
935,t2g5:108,t2g5, temp; 29.77 humid; 69.84 quality; 29,9/7/2024 22:35
936,t2g5:108,t2g5, temp; 31.14 humid; 70.19 quality; 31,9/7/2024 22:50
937,t2g5:108,t2g5, temp; 29.77 humid; 70.63 quality; 27,9/7/2024 23:05
938,t2g5:108,t2g5, temp; 31.82 humid; 71.03 quality; 33,9/7/2024 23:20
939,t2g5:108,t2g5, temp; 33.88 humid; 71.29 quality; 31,9/7/2024 23:36
940,t2g5:108,t2g5, temp; 32.51 humid; 71.58 quality; 31,9/7/2024 23:51
941,t2g5:108,t2g5, temp; 30.80 humid; 71.94 quality; 31,10/7/2024 0:06
942,t2g5:108,t2g5, temp; 30.80 humid; 72.38 quality; 31,10/7/2024 0:21
943,t2g5:108,t2g5, temp; 31.82 humid; 72.62 quality; 32,10/7/2024 0:36
944,t2g5:108,t2g5, temp; 28.06 humid; 73.14 quality; 33,10/7/2024 0:51
945,t2g5:108,t2g5, temp; 32.17 humid; 73.47 quality; 33,10/7/2024 1:06
946,t2g5:108,t2g5, temp; 31.82 humid; 74.15 quality; 34,10/7/2024 1:21
947,t2g5:108,t2g5, temp; 29.77 humid; 74.76 quality; 34,10/7/2024 1:36
948,t2g5:108,t2g5, temp; 27.72 humid; 75.17 quality; 35,10/7/2024 1:51
949,t2g5:108,t2g5, temp; 30.80 humid; 75.73 quality; 35,10/7/2024 2:06
950,t2g5:108,t2g5, temp; 27.38 humid; 75.87 quality; 35,10/7/2024 2:21
951,t2g5:108,t2g5, temp; 33.19 humid; 75.93 quality; 35,10/7/2024 2:36
952,t2g5:108,t2g5, temp; 33.54 humid; 76.09 quality; 34,10/7/2024 2:51
953,t2g5:108,t2g5, temp; 29.43 humid; 76.35 quality; 34,10/7/2024 3:06
954,t2g5:108,t2g5, temp; 28.40 humid; 76.54 quality; 35,10/7/2024 3:21
955,t2g5:108,t2g5, temp; 33.19 humid; 76.77 quality; 35,10/7/2024 3:36
956,t2g5:108,t2g5, temp; 30.11 humid; 76.93 quality; 34,10/7/2024 3:51
957,t2g5:108,t2g5, temp; 31.82 humid; 77.23 quality; 35,10/7/2024 4:06
958,t2g5:108,t2g5, temp; 30.11 humid; 77.52 quality; 35,10/7/2024 4:21
959,t2g5:108,t2g5, temp; 33.54 humid; 77.95 quality; 35,10/7/2024 4:36
960,t2g5:108,t2g5, temp; 29.09 humid; 78.43 quality; 34,10/7/2024 4:51
961,t2g5:108,t2g5, temp; 31.82 humid; 78.66 quality; 34,10/7/2024 5:06
962,t2g5:108,t2g5, temp; 30.11 humid; 79.55 quality; 34,10/7/2024 5:21
963,t2g5:108,t2g5, temp; 27.38 humid; 79.35 quality; 34,10/7/2024 5:36
964,t2g5:108,t2g5, temp; 31.14 humid; 79.53 quality; 35,10/7/2024 5:51
965,t2g5:108,t2g5, temp; 29.43 humid; 79.81 quality; 34,10/7/2024 6:06
966,t2g5:108,t2g5, temp; 29.77 humid; 80.33 quality; 34,10/7/2024 6:21
967,t2g5:108,t2g5, temp; 30.80 humid; 78.38 quality; 32,10/7/2024 6:37
968,t2g5:108,t2g5, temp; 30.46 humid; 74.89 quality; 34,10/7/2024 6:52
969,t2g5:108,t2g5, temp; 29.77 humid; 72.30 quality; 35,10/7/2024 7:07
970,t2g5:108,t2g5, temp; 30.11 humid; 70.49 quality; 36,10/7/2024 7:22
971,t2g5:108,t2g5, temp; 28.40 humid; 68.60 quality; 37,10/7/2024 7:37
972,t2g5:108,t2g5, temp; 31.82 humid; 66.46 quality; 38,10/7/2024 7:52
973,t2g5:108,t2g5, temp; 27.38 humid; 64.04 quality; 38,10/7/2024 8:07
974,t2g5:108,t2g5, temp; 32.17 humid; 62.50 quality; 38,10/7/2024 8:22
975,t2g5:108,t2g5, temp; 29.09 humid; 61.36 quality; 39,10/7/2024 8:37
976,t2g5:108,t2g5, temp; 28.40 humid; 60.84 quality; 40,10/7/2024 8:52
977,t2g5:108,t2g5, temp; 31.48 humid; 60.20 quality; 39,10/7/2024 9:07
978,t2g5:108,t2g5, temp; 30.80 humid; 59.63 quality; 40,10/7/2024 9:22
979,t2g5:108,t2g5, temp; 29.77 humid; 59.58 quality; 39,10/7/2024 9:37
980,t2g5:108,t2g5, temp; 28.06 humid; 59.07 quality; 39,10/7/2024 9:52
981,t2g5:108,t2g5, temp; 30.80 humid; 59.32 quality; 39,10/7/2024 10:07
982,t2g5:108,t2g5, temp; 29.09 humid; 58.67 quality; 40,10/7/2024 10:22
983,t2g5:108,t2g5, temp; 30.80 humid; 59.04 quality; 39,10/7/2024 10:37
984,t2g5:108,t2g5, temp; 27.38 humid; 59.73 quality; 41,10/7/2024 10:52
985,t2g5:108,t2g5, temp; 32.85 humid; 59.87 quality; 40,10/7/2024 11:07
986,t2g5:108,t2g5, temp; 28.06 humid; 60.99 quality; 41,10/7/2024 11:22
