id,clientID,topic,message,timestamp
575,t1g2:110,t1g2,23.72;65.45;25,2024-07-10 09:50:40
576,t1g2:110,t1g2,23.77;67.78;25,2024-07-10 09:50:50
577,t1g2:110,t1g2,23.73;68.02;25,2024-07-10 09:51:00
578,t1g2:110,t1g2,23.77;65.76;25,2024-07-10 09:51:10
579,t1g2:110,t1g2,23.77;66.08;25,2024-07-10 09:51:20
580,t1g2:110,t1g2,23.81;65.76;25,2024-07-10 09:51:30
581,t1g2:110,t1g2,23.81;65.81;25,2024-07-10 09:51:40
582,t1g2:110,t1g2,23.87;65.19;24,2024-07-10 09:51:50
583,t1g2:110,t1g2,23.04;66.60;30,2024-07-10 10:10:42
584,t1g2:110,t1g2,23.14;66.22;30,2024-07-10 10:25:42
585,t1g2:110,t1g2,23.05;66.72;31,2024-07-10 10:40:42
586,t1g2:110,t1g2,23.10;66.86;31,2024-07-10 10:55:42
587,t1g2:110,t1g2,23.14;67.06;32,2024-07-10 11:10:42
588,t1g2:110,t1g2,23.37;68.20;31,2024-07-10 11:25:42
589,t1g2:110,t1g2,23.35;68.12;33,2024-07-10 11:40:42
590,t1g2:110,t1g2,23.56;68.06;33,2024-07-10 11:55:42
591,t1g2:110,t1g2,23.73;68.68;33,2024-07-10 12:10:43
592,t1g2:110,t1g2,23.73;68.39;32,2024-07-10 12:25:43
593,t1g2:110,t1g2,23.70;68.37;33,2024-07-10 12:40:43
594,t1g2:110,t1g2,23.90;67.92;33,2024-07-10 12:55:43
595,t1g2:110,t1g2,24.10;68.44;33,2024-07-10 13:10:43
596,t1g2:110,t1g2,23.99;68.19;33,2024-07-10 13:25:43
597,t1g2:110,t1g2,23.95;68.79;34,2024-07-10 13:40:43
598,t1g2:110,t1g2,23.89;68.50;33,2024-07-10 13:55:43
599,t1g2:110,t1g2,24.03;68.09;33,2024-07-10 14:10:43
600,t1g2:110,t1g2,24.08;67.61;33,2024-07-10 14:25:43
601,t1g2:110,t1g2,24.23;68.28;34,2024-07-10 14:40:43
602,t1g2:110,t1g2,24.25;68.08;34,2024-07-10 14:55:43
603,t1g2:110,t1g2,24.14;67.21;34,2024-07-10 15:10:43
604,t1g2:110,t1g2,24.32;67.35;34,2024-07-10 15:25:44
605,t1g2:110,t1g2,24.42;67.27;34,2024-07-10 15:40:44
606,t1g2:110,t1g2,24.56;68.11;34,2024-07-10 15:55:44
