id,clientID,topic,message,timestamp
145,t2g2:114,t2g2,25.31;62.51;27;Min;,2024-07-01 16:14:53
146,t2g2:114,t2g2,25.20;61.47;28;Min;,2024-07-01 16:24:53
147,t2g2:114,t2g2,25.18;62.48;29;Min;,2024-07-01 16:34:54
148,t2g2:114,t2g2,24.96;63.71;31;Min;,2024-07-01 16:44:54
149,t2g2:114,t2g2,24.56;63.84;31;Min;,2024-07-01 16:54:55
150,t2g2:114,t2g2,24.56;63.67;31;Min;,2024-07-01 17:04:55
151,t2g2:114,t2g2,24.42;64.67;32;Min;,2024-07-01 17:14:56
152,t2g2:114,t2g2,24.09;64.64;30;Min;,2024-07-01 17:24:56
153,t2g2:114,t2g2,24.11;64.42;33;Min;,2024-07-01 17:34:57
154,t2g2:114,t2g2,24.00;63.99;33;Min;,2024-07-01 17:44:57
155,t2g2:114,t2g2,23.94;64.46;33;Min;,2024-07-01 17:54:57
156,t2g2:114,t2g2,23.77;64.76;33;Min;,2024-07-01 18:04:58
157,t2g2:114,t2g2,23.74;63.87;42;Min;,2024-07-01 18:14:59
158,t2g2:114,t2g2,23.63;63.65;35;Min;,2024-07-01 18:24:59
159,t2g2:114,t2g2,23.61;64.00;35;Min;,2024-07-01 18:35:00
160,t2g2:114,t2g2,23.42;64.27;35;Min;,2024-07-01 18:45:00
161,t2g2:114,t2g2,23.29;64.12;36;Min;,2024-07-01 18:55:01
162,t2g2:114,t2g2,23.73;63.40;37;Min;,2024-07-01 19:05:01
163,t2g2:114,t2g2,24.28;62.44;36;Min;,2024-07-01 19:15:02
164,t2g2:114,t2g2,24.55;63.40;35;Min;,2024-07-01 19:25:02
165,t2g2:114,t2g2,24.67;64.33;35;Min;,2024-07-01 19:35:03
166,t2g2:114,t2g2,24.79;65.21;32;Min;,2024-07-01 19:45:03
167,t2g2:114,t2g2,24.83;66.30;35;Min;,2024-07-01 19:55:04
168,t2g2:114,t2g2,24.90;65.26;34;Min;,2024-07-01 20:05:04
169,t2g2:114,t2g2,24.97;66.78;34;Min;,2024-07-01 20:15:05
